nºPartidas,Cosmin,Jugadores,Probabilidad de Piedra,Probabilidad de Papel,Probabilidad de Tijera,Resultado de Partida (cosmin),Último movimiento,Patrones dentro de cada 5 jugadas,Comportamiento tras partida ganada,Comportamiento tras partida perdida,Comportamiento tras partida empatada,Entropia
partida 1,t,t,0.00%,0.00%,100.00%,empate,t,N/A,N/A,N/A,N/A,0.000
partida 2,r,s,50.00%,0.00%,50.00%,gana,r,N/A,N/A,N/A,t→r,0.693
partida 3,t,s,33.33%,0.00%,66.67%,pierde,t,N/A,r→t,N/A,N/A,0.918
partida 4,s,t,33.33%,33.33%,33.33%,gana,s,N/A,N/A,t→s,N/A,1.099
partida 5,t,r,25.00%,25.00%,50.00%,pierde,t,t-r-t-s-t,s→t,N/A,N/A,1.500
partida 6,s,s,25.00%,50.00%,25.00%,empate,s,r-t-s-t-s,N/A,N/A,t→s,1.500
partida 7,r,t,33.33%,33.33%,33.33%,pierde,r,t-s-t-s-r,N/A,t→r,N/A,1.585
partida 8,r,r,42.86%,28.57%,28.57%,empate,r,s-t-s-r-r,N/A,N/A,r→r,1.557
partida 9,r,r,50.00%,25.00%,25.00%,empate,r,t-s-r-r-r,N/A,N/A,r→r,1.500
partida 10,s,s,40.00%,30.00%,30.00%,empate,s,s-r-r-r-s,N/A,N/A,r→s,1.571
partida 11,r,r,45.45%,27.27%,27.27%,empate,r,r-r-r-s-r,N/A,N/A,s→r,1.550
partida 12,t,s,41.67%,25.00%,33.33%,pierde,t,r-r-s-r-t,N/A,N/A,r→t,1.571
partida 13,t,r,38.46%,23.08%,38.46%,pierde,t,r-s-r-t-t,N/A,t→t,N/A,1.571
partida 14,s,r,35.71%,28.57%,35.71%,gana,s,s-r-t-t-s,N/A,t→s,N/A,1.578
partida 15,r,t,40.00%,26.67%,33.33%,pierde,r,r-t-t-s-r,s→r,N/A,N/A,1.571
partida 16,s,s,37.50%,31.25%,31.25%,empate,s,t-t-s-r-s,N/A,N/A,r→s,1.585
partida 17,t,t,35.29%,29.41%,35.29%,empate,t,t-s-r-s-t,N/A,N/A,s→t,1.585
